pair,i,sign,kz,wd,hour_ny,sweep_min,mss,t_mss,mss_in_hour,fvg,cls_60,depth_60,swept_60,ce_60,inval_60,target_60,h1_dir,h1_directional,race_ph,race_ext1,race_open,ret_before,ret_any,sweep_depth_atr
GBPUSD,14140,1,London,Wed,2,0,True,47.0,True,True,cont_no_retrace,0.16393442622949028,False,False,False,False,True,False,neither,neither,target,False,False,0.5910723447922418
GBPUSD,14141,-1,London,Wed,3,24,True,40.0,True,True,cont_no_retrace,0.1571428571426351,True,True,True,False,True,False,fail,fail,target,True,True,0.24521072796932014
GBPUSD,14142,-1,London,Wed,4,1,True,23.0,True,True,cont_no_retrace,0.16666666666661922,True,True,True,False,False,False,fail,fail,fail,True,True,0.8888888888889306
GBPUSD,14146,1,NY_AM,Wed,8,14,True,35.0,True,True,cont_no_retrace,0.20792079207926017,True,True,True,False,False,False,fail,fail,fail,True,True,0.5121365697518833
GBPUSD,14147,1,NY_AM,Wed,9,8,True,18.0,True,True,cont_no_retrace,0.3442622950820388,True,True,True,False,False,False,fail,fail,fail,True,True,0.43738609737043016
GBPUSD,14148,1,NY_AM,Wed,10,10,True,13.0,True,False,noFVG_cont,0.6896551724136875,True,False,False,True,False,False,fail,fail,target,False,False,0.130232558139562
GBPUSD,14165,-1,London,Thu,3,14,True,35.0,True,True,retrace_cont,0.4736842105263363,True,True,True,False,False,False,fail,fail,fail,True,True,0.8645690834472812
GBPUSD,14166,-1,London,Thu,4,0,True,53.0,True,False,noFVG_cont,0.43181818181798687,True,False,False,False,False,False,fail,fail,fail,False,False,0.6858650252803192
GBPUSD,14170,1,NY_AM,Thu,8,16,True,1.0,False,True,cont_no_retrace,0.2658227848101586,False,False,False,True,False,False,target,target,target,False,False,0.48913043478255014
GBPUSD,14171,-1,NY_AM,Thu,9,17,True,3.0,False,False,noFVG_cont,0.4623655913978366,True,False,False,False,False,False,fail,fail,fail,False,False,1.585060350717311
GBPUSD,14172,-1,NY_AM,Thu,10,0,True,3.0,True,False,noFVG_cont,0.4623655913978366,True,False,False,False,True,False,fail,fail,target,False,False,0.06188225182633296
GBPUSD,14236,1,London,Tue,2,28,True,51.0,True,True,cont_no_retrace,0.07246376811608661,False,True,False,True,False,False,target,target,target,False,True,0.18837380426790384
GBPUSD,14236,-1,London,Tue,2,2,True,8.0,True,True,retrace_cont,0.8775510204078396,True,True,True,True,True,False,target,target,target,True,True,0.0647534952171042
GBPUSD,14237,-1,London,Tue,3,0,True,6.0,True,True,cont_no_retrace,0.11999999999991118,True,True,True,False,False,False,fail,target,target,True,True,0.0531104007867759
GBPUSD,14242,1,NY_AM,Tue,8,0,True,4.0,True,False,noFVG_stall,3.0476190476199037,True,False,False,False,False,False,fail,fail,target,False,False,0.018720748829937527
GBPUSD,14243,1,NY_AM,Tue,9,10,True,19.0,True,True,cont_no_retrace,0.213114754098301,False,True,False,True,False,False,target,target,target,True,True,0.20749279538901438
GBPUSD,14244,-1,NY_AM,Tue,10,7,True,28.0,True,True,cont_no_retrace,0.21978021978020368,True,True,True,False,False,False,fail,fail,fail,True,True,0.7266932270915868
GBPUSD,14261,-1,London,Wed,3,30,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14262,-1,London,Wed,4,0,True,40.0,True,True,cont_no_retrace,0.049180327868810686,True,True,True,False,False,False,fail,target,target,True,True,0.8951486697965775
GBPUSD,14266,1,NY_AM,Wed,8,21,True,0.0,False,True,cont_no_retrace,0.3103448275863125,True,True,True,True,False,False,fail,fail,fail,True,True,0.4375963020030673
GBPUSD,14267,1,NY_AM,Wed,9,14,True,15.0,True,True,retrace_cont,0.35106382978727046,False,False,False,True,True,True,target,target,target,False,True,0.11671359099061064
GBPUSD,14267,-1,NY_AM,Wed,9,15,True,27.0,True,True,cont_no_retrace,0.06818181818176083,True,True,True,False,False,False,fail,fail,fail,True,True,0.583567954952644
GBPUSD,14268,-1,NY_AM,Wed,10,0,True,7.0,True,True,cont_no_retrace,0.3195876288658118,True,True,True,False,True,False,fail,fail,target,True,True,0.2809070958303018
GBPUSD,14285,-1,London,Thu,3,5,True,38.0,True,True,cont_no_retrace,0.024096385542323386,True,True,True,False,False,False,fail,fail,fail,True,True,0.5640495867768277
GBPUSD,14286,-1,London,Thu,4,10,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14291,1,NY_AM,Thu,9,15,True,17.0,True,True,retrace_cont,0.4999999999998867,False,True,False,True,True,False,target,target,target,True,True,0.00628107825180758
GBPUSD,14291,-1,NY_AM,Thu,9,23,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14292,-1,NY_AM,Thu,10,12,True,31.0,True,True,cont_no_retrace,0.3776223776223559,False,True,False,False,False,False,neither,target,neither,True,True,1.3915806195392348
GBPUSD,14356,-1,London,Tue,2,21,True,25.0,True,True,cont_no_retrace,0.27118644067792147,True,True,True,True,False,False,fail,fail,target,True,True,0.020845396641556983
GBPUSD,14357,1,London,Tue,3,0,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14362,-1,NY_AM,Tue,8,0,True,7.0,True,True,cont_no_retrace,0.2222222222223219,True,True,True,False,True,False,fail,fail,target,True,True,0.03999047845751809
GBPUSD,14363,-1,NY_AM,Tue,9,0,True,10.0,True,True,cont_no_retrace,0.08088235294121489,True,True,True,False,False,False,fail,fail,target,True,True,0.22492970946576454
GBPUSD,14364,-1,NY_AM,Tue,10,2,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14381,1,London,Wed,3,20,True,4.0,False,False,noFVG_cont,1.150943396226589,True,False,False,False,False,False,fail,fail,fail,False,False,0.9344504682108947
GBPUSD,14382,1,London,Wed,4,0,True,4.0,True,False,noFVG_cont,1.150943396226589,True,False,False,False,True,True,fail,fail,target,False,False,0.04495584693605465
GBPUSD,14386,1,NY_AM,Wed,8,3,True,36.0,True,True,cont_no_retrace,0.12941176470594382,False,True,False,True,False,False,target,target,target,True,True,0.5933503836316663
GBPUSD,14387,-1,NY_AM,Wed,9,23,True,43.0,True,True,cont_no_retrace,0.26470588235292836,False,True,True,False,False,False,neither,target,neither,True,True,3.608919382504339
GBPUSD,14404,-1,London,Thu,2,23,True,33.0,True,True,retrace_cont,0.5434782608695967,False,True,True,True,False,False,target,target,target,True,True,0.1984334203655569
GBPUSD,14405,1,London,Thu,3,0,True,22.0,True,True,cont_no_retrace,0.09230769230760821,True,True,True,False,False,False,fail,fail,fail,True,True,1.1408725851963777
GBPUSD,14406,1,London,Thu,4,5,True,51.0,True,True,retrace_cont,0.4097222222221633,False,False,False,False,False,False,neither,target,target,True,True,1.707672524646343
GBPUSD,14410,-1,NY_AM,Thu,8,3,True,14.0,True,True,cont_no_retrace,0.2807017543860162,False,False,False,False,False,False,neither,neither,target,False,False,0.045705579889538994
GBPUSD,14411,-1,NY_AM,Thu,9,30,True,46.0,True,True,cont_no_retrace,0.3879310344827949,True,True,True,False,False,False,fail,fail,fail,True,True,0.9196093163035316
GBPUSD,14412,-1,NY_AM,Thu,10,5,True,11.0,True,True,cont_no_retrace,0.08219178082184697,False,False,False,False,True,False,neither,target,target,False,False,0.18808777429464613
GBPUSD,14476,1,London,Tue,2,16,True,56.0,True,True,cont_no_retrace,0.2549019607842369,True,True,True,False,False,False,fail,fail,fail,True,True,0.3879173290938028
GBPUSD,14477,1,London,Tue,3,1,True,16.0,True,True,cont_no_retrace,0.43448275862072766,True,True,True,False,False,False,fail,fail,target,False,True,0.2510322047894645
GBPUSD,14478,1,London,Tue,4,1,True,6.0,True,False,noFVG_cont,1.4404761904761936,True,False,False,False,True,False,fail,fail,target,False,False,0.19988512349233437
GBPUSD,14482,-1,NY_AM,Tue,8,5,True,22.0,True,True,retrace_cont,0.42424242424258735,True,True,True,False,False,False,fail,target,target,True,True,0.5298869143780639
GBPUSD,14483,-1,NY_AM,Tue,9,10,True,25.0,True,True,cont_no_retrace,0.04761904761883363,False,True,False,True,True,True,target,target,target,True,True,0.1414790996785283
GBPUSD,14484,1,NY_AM,Tue,10,0,True,12.0,True,True,cont_no_retrace,0.10958904109586333,True,True,True,False,False,False,fail,fail,target,True,True,0.10480349344978523
GBPUSD,14501,-1,London,Wed,3,0,True,33.0,True,False,noFVG_cont,0.4864864864863973,True,False,False,False,False,False,fail,fail,fail,False,False,0.8564437194127974
GBPUSD,14502,-1,London,Wed,4,1,True,27.0,True,True,cont_no_retrace,0.07594936708867697,False,False,False,False,True,False,neither,neither,target,False,False,0.47605690242438714
GBPUSD,14506,1,NY_AM,Wed,8,0,True,6.0,True,True,cont_no_retrace,0.17391304347841477,False,True,True,False,True,True,neither,target,target,True,True,0.07061592781487411
GBPUSD,14507,-1,NY_AM,Wed,9,7,True,44.0,True,True,cont_no_retrace,0.07092198581558831,False,False,False,True,True,False,target,target,target,False,False,0.4086105675147492
GBPUSD,14508,1,NY_AM,Wed,10,23,True,46.0,True,True,cont_no_retrace,0.29213483146057323,False,False,False,True,False,False,target,target,target,False,False,0.3801980198020456
GBPUSD,14524,1,London,Thu,2,10,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14525,1,London,Thu,3,6,True,23.0,True,True,retrace_cont,1.2323232323231734,True,True,True,True,True,False,fail,fail,fail,True,True,0.23455824863171829
GBPUSD,14526,-1,London,Thu,4,11,True,33.0,True,True,retrace_cont,0.6274509803919007,True,True,True,False,True,False,fail,target,target,True,True,0.45114548658707365
GBPUSD,14530,1,NY_AM,Thu,8,0,True,16.0,True,True,retrace_cont,0.405594405594411,False,False,False,True,True,False,target,target,target,True,True,0.7619798856240877
GBPUSD,14530,-1,NY_AM,Thu,8,30,True,18.0,False,True,cont_no_retrace,0.28571428571430135,False,True,True,False,False,False,neither,neither,target,True,True,0.4496154604614522
GBPUSD,14597,-1,London,Tue,3,0,True,11.0,True,True,cont_no_retrace,0.08737864077683298,True,True,True,False,False,False,fail,fail,target,True,True,0.28038360941584256
GBPUSD,14602,-1,NY_AM,Tue,8,11,True,50.0,True,True,cont_no_retrace,0.13768115942037149,False,False,False,True,False,False,target,target,target,False,False,0.5670665212650213
GBPUSD,14603,1,NY_AM,Tue,9,12,True,32.0,True,True,cont_no_retrace,0.18918918918923786,True,True,True,False,False,False,fail,fail,fail,True,True,0.5814977973568148
GBPUSD,14604,1,NY_AM,Tue,10,14,True,20.0,True,True,cont_no_retrace,0.12371134020629176,False,True,True,True,False,False,target,target,target,True,True,0.1731089328648525
GBPUSD,14620,-1,London,Wed,2,0,False,,False,False,,,False,False,False,False,False,False,,,,False,False,
GBPUSD,14621,-1,London,Wed,3,1,True,2.0,True,False,noFVG_cont,0.48387096774218963,True,False,False,False,False,False,fail,fail,target,False,False,0.006290956749573888
GBPUSD,14622,1,London,Wed,4,2,True,36.0,True,True,cont_no_retrace,0.15441176470591117,True,True,True,True,False,False,target,fail,target,False,True,0.1306833650966371
GBPUSD,14626,-1,NY_AM,Wed,8,9,True,22.0,True,True,cont_no_retrace,0.09459459459459053,False,False,False,True,False,False,target,target,target,False,False,0.2389380530974369
GBPUSD,14627,1,NY_AM,Wed,9,3,True,35.0,True,True,cont_no_retrace,0.09090909090900935,False,True,True,False,False,False,neither,target,target,True,True,0.8804256510782287
GBPUSD,14628,-1,NY_AM,Wed,10,17,True,28.0,True,False,noFVG_cont,0.5641025641026809,True,False,False,False,False,False,fail,fail,fail,False,False,0.47444224795250134
GBPUSD,14644,1,London,Thu,2,1,True,10.0,True,True,cont_no_retrace,0.13636363636354462,False,True,False,True,True,True,target,target,target,True,True,0.1198108250130806
GBPUSD,14645,-1,London,Thu,3,1,True,4.0,True,True,cont_no_retrace,0.09677419354832933,True,True,True,False,False,False,fail,target,target,True,True,0.024922118380087156
GBPUSD,14646,-1,London,Thu,4,0,True,25.0,True,True,cont_no_retrace,0.1555555555555921,True,True,True,False,False,False,fail,fail,fail,True,True,1.3040816326530285
GBPUSD,14650,1,NY_AM,Thu,8,0,True,54.0,True,True,cont_no_retrace,0.028169014084379305,False,True,True,False,False,False,neither,target,neither,True,True,1.6597590361445331
GBPUSD,14652,-1,NY_AM,Thu,10,27,True,4.0,False,True,retrace_fail,1.8571428571428799,True,True,True,False,False,False,fail,fail,fail,True,True,0.7371273712737298
GBPUSD,14717,-1,London,Tue,3,29,True,38.0,True,True,cont_no_retrace,0.6616541353383132,True,True,True,True,True,True,target,fail,target,False,True,0.11068408916222501
GBPUSD,14718,1,London,Tue,4,1,True,8.0,True,True,cont_no_retrace,0.2500000000001262,False,False,False,True,True,True,target,target,target,False,False,0.278350515463817
GBPUSD,14718,-1,London,Tue,4,10,True,21.0,True,False,noFVG_cont,0.5813953488371973,True,False,False,False,False,False,fail,target,fail,False,False,0.513402061855735
GBPUSD,14722,1,NY_AM,Tue,8,0,True,40.0,True,True,cont_no_retrace,0.027397260273851767,True,True,True,False,False,False,fail,fail,fail,True,True,0.6935753522808299
GBPUSD,14723,1,NY_AM,Tue,9,0,True,40.0,True,False,noFVG_stall,5.852941176470281,True,False,False,False,False,False,fail,fail,fail,False,False,0.44278374591316455
GBPUSD,14724,1,NY_AM,Tue,10,0,True,36.0,True,True,cont_no_retrace,0.16483516483527477,True,True,True,False,False,False,fail,fail,fail,True,True,0.6085935665649089
GBPUSD,14740,1,London,Wed,2,0,True,3.0,True,True,retrace_fail,5.666666666666358,True,True,True,False,False,False,fail,fail,target,True,True,0.006589785832003772
