hour,wd,target,directional,body_atr,target_2h,prev_hour,prev_2h,prev_session,prev_day,prev_hour_body_atr,prev_hour_swept,open_vs_day_open,open_vs_midnight,open_vs_session_mid,agree_hour_session,prev_hour_closed_outside,pair
9,Thu,-1.0,True,1.8415630550621658,-1.0,-1.0,-1.0,-1.0,1.0,1.0657193605685793,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Tue,-1.0,True,1.3662842012356908,-1.0,-1.0,-1.0,1.0,1.0,0.27537511032649314,0,-1.0,1.0,1.0,0.0,0,EURUSD
9,Tue,-1.0,True,1.2115143929911811,-1.0,-1.0,-1.0,-1.0,1.0,0.24030037546935643,1,1.0,1.0,1.0,-1.0,0,EURUSD
3,Wed,1.0,False,0.14387667713390997,-1.0,1.0,-1.0,-1.0,1.0,0.39737367970311477,1,1.0,1.0,1.0,0.0,0,EURUSD
9,Wed,1.0,True,2.8094313453536706,1.0,-1.0,-1.0,1.0,1.0,0.778918169209486,0,1.0,-1.0,-1.0,0.0,0,EURUSD
3,Thu,-1.0,True,0.8582887700533944,-1.0,-1.0,-1.0,-1.0,1.0,0.06417112299471622,1,1.0,1.0,1.0,-1.0,-1,EURUSD
9,Thu,1.0,False,0.4708960104642963,-1.0,-1.0,-1.0,-1.0,1.0,0.40026160889470414,1,1.0,1.0,1.0,-1.0,0,EURUSD
3,Tue,-1.0,True,2.371590324240981,-1.0,-1.0,-1.0,-1.0,1.0,0.7905301080802355,0,1.0,1.0,1.0,-1.0,0,EURUSD
9,Tue,1.0,False,1.2346570397110934,-1.0,-1.0,-1.0,-1.0,1.0,0.7472924187724027,1,1.0,1.0,1.0,-1.0,-1,EURUSD
3,Wed,-1.0,True,0.533156498673896,-1.0,1.0,1.0,1.0,-1.0,0.18302387267901424,-1,-1.0,-1.0,-1.0,1.0,1,EURUSD
9,Wed,-1.0,True,0.5744016649322673,-1.0,1.0,1.0,1.0,-1.0,0.4412070759624903,-1,-1.0,-1.0,-1.0,1.0,0,EURUSD
3,Thu,-1.0,False,0.24470588235287166,-1.0,0.0,-1.0,-1.0,1.0,0.0,1,1.0,1.0,1.0,0.0,0,EURUSD
9,Thu,-1.0,False,1.200508690122903,-1.0,-1.0,-1.0,-1.0,1.0,0.09156422212794336,1,1.0,1.0,1.0,-1.0,0,EURUSD
3,Tue,-1.0,False,0.36004737465460956,-1.0,-1.0,-1.0,-1.0,1.0,0.2652980655349976,1,1.0,1.0,1.0,-1.0,-1,EURUSD
9,Tue,-1.0,True,0.9759036144578235,-1.0,1.0,-1.0,-1.0,1.0,0.18072289156624874,1,1.0,1.0,1.0,0.0,0,EURUSD
3,Wed,-1.0,False,0.4756466241181325,-1.0,-1.0,-1.0,-1.0,-1.0,0.6368827678871882,1,-1.0,1.0,1.0,-1.0,-1,EURUSD
